scenario_id,base_converged,base_vm_min_pu,final_vm_min_pu,base_vm_max_pu,final_vm_max_pu,base_n_undervoltage,final_n_undervoltage,base_n_overvoltage,final_n_overvoltage,base_n_overloaded_lines,final_n_overloaded_lines,base_n_overloaded_trafos,final_n_overloaded_trafos,base_line_loading_max_pct,final_line_loading_max_pct,base_trafo_loading_max_pct,final_trafo_loading_max_pct,base_voltage_deficit_sum_pu,final_voltage_deficit_sum_pu,base_voltage_deficit_max_pu,final_voltage_deficit_max_pu,base_voltage_deficit_sq_sum_pu,final_voltage_deficit_sq_sum_pu,improved_vm_min,reduced_undervoltage_count,reduced_voltage_deficit_sum,accepted_action_count,termination_reason,taboo_event_count,error
fed_combined_load_1p25_line_41_MG1,True,0.9263893491450729,0.9508342776783977,1.0500000000000005,1.05,9,0,0,0,0,0,0,0,4.475087324056161,4.475087324056155,6.751788463311113,6.732469600368134,0.09510903289434147,0.0,0.023610650854927084,0.0,0.0015619672718003707,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_49_MG1,True,0.9041094536198717,0.9504361552095519,1.0500000000000003,1.05,10,0,0,0,0,0,0,0,4.475087324056158,4.475087324056157,6.670014334663864,6.66828073364578,0.14957397251931803,0.0,0.04589054638012824,0.0,0.003952986041869735,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_84_MG2,True,0.9269180003694104,0.9503933915187504,1.05,1.05,9,0,0,0,0,0,0,0,4.475087324056157,4.475087324056162,6.773816485084017,6.754449960633847,0.09133580790362006,0.0,0.023081999630589545,0.0,0.00147737046212885,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_85_MG2,True,0.9268911072204882,0.950611144770645,1.0500000000000003,1.0500000000000005,9,0,0,0,0,0,0,0,4.47508732405616,4.475087324056159,6.788058310387532,6.7686645521281426,0.09080000715474923,0.0,0.02310889277951178,0.0,0.0014719039818728815,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_86_MG2,True,0.926923126267576,0.9500580547448007,1.0500000000000003,1.0500000000000003,9,0,0,0,0,0,0,0,4.47508732405616,4.4750873240561635,6.786467259383396,6.766503728062584,0.09013676855386288,0.0,0.023076873732423953,0.0,0.0014611505442615543,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_89_MG2,True,0.8284672890622602,0.950227691325557,1.0500000000000003,1.05,21,0,0,0,0,0,0,0,4.475087324056158,4.475087324056167,6.332657013324355,6.20192643883666,0.7367632489621988,0.0,0.12153271093773976,0.0,0.048563402122623694,0.0,True,True,True,6,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_91_MG2,True,0.9268872488290876,0.9509491568352479,1.05,1.05,9,0,0,0,0,0,0,0,4.475087324056153,4.4750873240561555,6.596571744711537,6.5781493431443465,0.09720270468484249,0.0,0.023112751170912382,0.0,0.0015594797637136677,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_92_MG2,True,0.9268872488290876,0.9509491568352479,1.05,1.05,9,0,0,0,0,0,0,0,4.475087324056153,4.4750873240561555,6.596571744711537,6.5781493431443465,0.09720270468484249,0.0,0.023112751170912382,0.0,0.0015594797637136677,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_96_MG2,True,0.9246674596253027,0.9501564798067261,1.0500000000000003,1.05,9,0,0,0,0,0,0,0,4.475087324056161,4.475087324056149,7.725142603439789,7.695825256057947,0.10304072697878452,0.0,0.025332540374697232,0.0,0.001841512997158012,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
fed_combined_load_1p25_line_97_MG2,True,0.9249321967790266,0.9504169134260586,1.0500000000000003,1.05,9,0,0,0,0,0,0,0,4.475087324056156,4.475087324056158,7.640666817210392,7.61783621141693,0.09895843713496133,0.0,0.02506780322097335,0.0,0.0017655994962691014,0.0,True,True,True,4,success_all_voltages_above_vmin,0,
